ID,HH_ID,HH_WEIGHT,TOT_VEH,OP_VEH,VEH_NUM,VEH_ID,VEH_OWN,YEAR,MAKE,MODEL,BODY,VEH_TYPE
3406,385226,140.8123661,1,1,1,38522601,1,2002,14,CRV,2,2
3407,385242,199.7312102,2,2,1,38524201,1,2004,14,ODYSSEY,8,2
3408,385242,199.7312102,2,2,2,38524202,1,2004,22,RX330,2,2
3409,385429,115.6544329,1,1,1,38542901,1,2007,37,IMPREZA,6,2
3410,385451,155.282038,1,1,1,38545101,1,2003,37,OUTBACK,7,2
3411,385464,589.9946492,1,1,1,38546401,1,2010,8,CARAVAN,9,2
3412,385501,242.1259407,1,1,1,38550101,1,2006,101,XB,7,2
3413,385518,79.88167766,1,1,1,38551801,1,2011,16,M37,1,2
3414,385555,119.4058649,1,1,1,38555501,1,2003,28,OUTLANDER SPORT,2,2
3415,385609,309.0306381,3,3,1,38560901,1,2009,39,COROLLA,1,2
3416,385609,309.0306381,3,3,2,38560902,2,2012,14,CIVIC,1,2
3417,385609,309.0306381,3,3,3,38560903,2,2010,14,CIVIC,4,2
3418,385679,742.3850096,1,1,1,38567901,1,2004,21,SEDONA,8,2
