ID,HH_ID,HH_WEIGHT,HH_GEO_ACC,H_STATE,H_COUNTY,H_CPA,H_MCD,H_TRACT,H_TAZ,A_TYPE,HH_TOT_TRIPS,HH_MO_TRIPS,HH_NM_TRIPS,GPS_Factor,F_HH_TOT_TRIPS,F_HH_MO_TRIPS,F_HH_NM_TRIPS,HH_SIZE,HH_WORK,TOT_VEH,OP_VEH,VEH_OUT,TOT_BIKE,TOLL_ACCNT,CAR_SHARE,RES_TYPE,INCOME,TRAV_DATE,TRAV_DOW,HOLIDAY,HOL_TYPE,OV_SAMPLE,STUDY,RECRUIT,RETRIEVE,R_LANG,SURV_LANG
27,102082,109.9486111,1,34,34007,007_802,3400712280,34007603506,22212,4,17,17,0,1.12,19.04,19.04,0,2,0,2,2,5,2,1,1,1,6,8/6/2012,1,,0,0,1,1,3,1,1
28,102146,196.4245309,1,34,34007,007_802,3400712280,34007603700,22217,4,9,9,0,1.17,10.53,10.53,0,1,0,1,1,100,0,2,2,3,3,7/31/2012,2,,0,0,1,1,2,1,1
29,102155,173.3830627,1,34,34007,007_802,3400712280,34007603301,22222,4,9,7,2,1.17,10.53,8.19,2.34,1,1,1,1,10,1,2,2,1,3,8/3/2012,5,,0,0,1,1,2,1,1
30,102212,100.6578357,1,34,34007,007_801,3400782450,34007604100,22072,3,3,3,0,1.17,3.51,3.51,0,1,0,1,1,40,0,2,2,1,5,7/31/2012,2,,0,1,1,1,2,1,1
31,102239,375.700167,1,34,34007,007_803,3400714260,34007604300,22413,3,16,16,0,1.12,17.92,17.92,0,4,2,2,2,15,4,1,1,1,6,8/3/2012,5,,0,1,1,1,3,1,1
32,102372,209.1398699,1,34,34007,007_802,3400728770,34007606100,22240,4,12,6,6,1.13,13.56,6.78,6.78,3,2,2,2,10,3,1,2,1,99,8/7/2012,2,,0,0,1,1,3,1,1
33,102586,85.09046316,1,34,34007,007_802,3400776220,34007607504,22249,4,9,9,0,1.15,10.35,10.35,0,2,2,2,2,5,0,1,2,1,10,8/7/2012,2,,0,0,1,1,3,1,1
34,102600,112.1396828,1,34,34007,007_802,3400776220,34007607505,22248,4,9,8,1,1.12,10.08,8.96,1.12,2,0,3,3,5,1,1,2,1,7,8/3/2012,5,,0,0,1,1,3,1,1
35,102638,292.9477281,1,34,34007,007_802,3400726070,34007607600,22234,4,21,19,2,1.12,23.52,21.28,2.24,3,1,2,2,3,5,1,2,1,7,8/2/2012,4,,0,0,1,1,2,1,1
36,102718,721.1989195,1,34,34007,007_803,3400771220,34007608001,22445,4,10,10,0,1.13,11.3,11.3,0,4,2,3,3,25,2,1,2,1,99,9/24/2012,1,,0,0,2,2,3,1,1
